name,0,,,
嘉峪关市,7,0937,98.288623,39.773231,镜铁区体育大道1号(雄关广场东侧)
金昌市,7,0935,102.187968,38.52149,新华路82号
白银市,7,0943,104.138865,36.545103,市统办楼
兰州市,7,0931,103.826678,36.060377,中央广场1号
酒泉市,7,0937,98.494308,39.733404,富康路29号
大兴安岭地区,7,0457,124.139595,50.408735,景观大道
黑河市,7,0456,127.528286,50.244878,花园街道通江路2号
伊春市,7,0458,129.429117,47.413074,花园街1号
齐齐哈尔市,7,0452,123.91812,47.354214,新明大街27号
佳木斯市,7,0454,130.318899,46.800002,长安西路816号
鹤岗市,7,0468,130.297687,47.350659,友谊路1号
绥化市,7,0455,126.968697,46.654153,迎宾路2号
双鸭山市,7,0469,131.141563,46.676157,双福路
鸡西市,7,0467,130.969333,45.295075,红旗路18号
七台河市,7,0464,131.003005,45.771189,大同街47号
哈尔滨市,8,0451,126.662022,45.742247,中山路202号
牡丹江市,7,0453,129.632971,44.551511,卧龙街
大庆市,7,0459,125.104077,46.589503,东风路19号
白城市,7,0436,122.838028,45.620156,文化东路1号
松原市,7,0438,124.825324,45.141904,沿江东路339号
长春市,8,0431,125.325746,43.896945,新发路329号
延边朝鲜族自治州,7,0433,128.232131,43.372642,民主街道新华西路1001-2号
吉林市,8,0432,126.54969,43.838138,松江中路65号
四平市,7,0434,124.350604,43.166699,市府路59号
白山市,7,0439,126.414730,41.943972,翠柏路1号
沈阳市,8,024,123.431367,41.836004,北陵大街45-22号
阜新市,7,0418,121.670049,42.02202,中华路45号
铁岭市,8,024,123.842411,42.286519,工人街市府路15号
呼伦贝尔市,7,0470,119.736176,49.212188,广场路1号
兴安盟,7,0482,122.093123,46.072731,育才南路
锡林郭勒盟,7,0479,116.086029,43.933403,中央大街市委楼
通辽市,7,0475,122.243265,43.65356,阿古拉大街门达路交汇处
海西蒙古族藏族自治州,7,0977,94.92825,36.407224,昆仑中路43号
西宁市,7,0971,101.780423,36.621096,西大街12号省政府院内东二楼
海北藏族自治州,7,0970,101.611387,37.387828,[]
海南藏族自治州,7,0974,101.433391,36.040166,迎宾东路89号
海东地区,0,,,
黄南藏族自治州,7,0973,102.040094,35.943253,铁岭路
玉树藏族自治州,7,0976,97.00917,32.992928,商业巷与结古大道交叉口东北200米
果洛藏族自治州,7,0975,100.245161,34.472179,团结路310号
甘孜藏族自治州,7,0836,101.956504,29.998708,茶马路1号3层
德阳市,7,0838,104.397839,31.127438,长江西路一段37号
成都市,8,028,104.066139,30.572972,锦悦西路2号
雅安市,7,0835,103.041562,30.010092,正和路1号
眉山市,8,028,103.848425,30.077037,眉州大道西一段2号
自贡市,7,0813,104.779112,29.339171,丹桂大街443号
乐山市,7,0833,103.766074,29.552293,滨河路98号
凉山彝族自治州,7,0834,102.264483,27.894659,大水井12号
攀枝花市,7,0812,101.718497,26.582432,炳草岗大街2号
和田地区,7,0903,79.913534,37.112148,乌鲁木齐北路1号
喀什地区,7,0998,75.993771,39.468072,人民东路55号
克孜勒苏柯尔克孜自治州,7,0908,76.168400,39.716160,帕米尔路东3院
阿克苏地区,7,0997,80.290830,41.184978,迎宾路(原阿克苏市公安局大楼)
巴音郭楞蒙古自治州,7,0996,86.174633,41.725891,新城街道延安路
博尔塔拉蒙古自治州,7,0909,82.051433,44.853882,前程路1号
吐鲁番地区,7,0995,89.189544,42.951238,绿洲东路495号
伊犁哈萨克自治州,7,0992,84.903266,44.426529,团结广场1号
哈密地区,0,,,
乌鲁木齐市,7,0991,87.628579,43.793301,中山路2号
昌吉回族自治州,7,0994,87.953566,44.164602,新运路1000号
塔城地区,7,0901,82.986923,46.751669,塔城市政府大楼C区
克拉玛依市,7,0990,84.889272,45.577748,迎宾路60号
阿勒泰地区,7,0906,88.131841,47.827308,团结路20号向北300米路西
山南地区,0,,,
林芝地区,7,0894,94.361639,29.648629,广福大道18号
昌都地区,7,0895,97.170415,31.142889,昌都西路24号
拉萨市,7,0891,91.171961,29.653482,纳金街道江苏大道69号
那曲地区,7,0896,92.073453,31.468454,那曲镇
日喀则地区,7,0892,88.880425,29.266829,山东路39号
阿里地区,7,0897,80.096417,32.491488,狄三路9附近
昆明市,8,0871,102.710323,25.046119,华山南路78号
楚雄彝族自治州,7,0878,101.545840,25.032917,鹿城南路148号
玉溪市,7,0877,102.52712,24.347114,秀山西路7号保安大厦13-18层
红河哈尼族彝族自治州,7,0873,103.766196,24.532024,人民路8号
普洱市,7,0879,100.966206,22.825166,[]
西双版纳傣族自治州,7,0691,100.799602,22.011747,嘎兰中路53号
临沧市,7,0883,100.088837,23.884175,世纪路350号
大理白族自治州,7,0872,100.301268,25.678079,行政中心
保山市,7,0875,99.161481,25.112012,兰城街道同仁路26号
怒江傈僳族自治州,0,,,
丽江市,7,0888,100.226650,26.854841,祥和街道玉雪大道262号
迪庆藏族自治州,7,0887,99.743183,27.842385,[]
德宏傣族景颇族自治州,7,0692,97.855590,24.017958,新建路2号
张掖市,7,0936,100.449858,38.924766,南环路679号
武威市,7,0935,102.638059,37.928611,东大街118号
东莞市,8,0769,113.751892,23.021013,鸿福路99号
东沙群岛,0,,,
三亚市,8,0898,109.51172,18.252877,新风街257
鄂州市,7,0711,114.894928,30.391126,滨湖北路特1号
乌海市,7,0473,106.726061,39.505630,君正小区(君正祥云居)书瑞超市
莱芜市,8,0531,117.019946,36.671242,省府前街1号
海口市,8,0898,110.348813,20.018612,国兴大道9号
蚌埠市,7,0552,117.388589,32.916836,东海大道3115号
合肥市,8,0551,117.227308,31.82057,东流路100号合肥市政务中心
阜阳市,7,0558,115.814265,32.891031,清河东路539号
芜湖市,7,0553,118.433068,31.352632,政通路66号(政务中心)
安庆市,7,0556,117.115258,30.532817,振风大道与顺安路交叉口月形村东部新城综合写字楼C区
北京市,8,010,116.407417,39.904172,正义路2号
重庆市,8,023,106.550483,29.563707,人民路232号
南平市,7,0599,118.177635,26.641521,八一路439号
泉州市,8,0595,118.675725,24.874453,海星街266号
庆阳市,7,0934,107.643632,35.709077,庆州西路1号
定西市,7,0932,104.592358,35.60796,安定路1号
韶关市,7,0751,113.597324,24.810978,风度北路75号
佛山市,8,0757,113.142646,23.028872,桂城街道南海大道北88号
茂名市,7,0668,110.925543,21.662734,油城六路2号
珠海市,7,0756,113.57693,22.271587,人民东路2号
梅州市,7,0753,116.121872,24.288773,新中路政府大楼
桂林市,7,0773,110.317576,25.253093,骖鸾路26号高新开发大厦
河池市,7,0778,108.084959,24.692797,百旺路17
崇左市,7,0771,107.36498,22.377138,新城路1号
钦州市,7,0777,108.654345,21.980872,永福东大街11号
贵阳市,8,0851,106.705285,26.60037,中华北路242号贵州省政府大院3号楼
六盘水市,7,0858,104.830319,26.592469,钟山西路47号
秦皇岛市,7,0335,119.520217,39.888244,西快速路
沧州市,7,0317,116.838662,38.304617,解放西路39号
石家庄市,8,0311,114.530395,38.037719,育才街道裕华东路113号
邯郸市,7,0310,114.539197,36.625804,联通北路3号
新乡市,7,0373,113.926804,35.303637,人民东路甲1号
洛阳市,8,0379,112.45386,34.620569,开元大道228号
商丘市,7,0370,115.656353,34.415159,府前路1号
许昌市,7,0374,113.852114,34.037035,建安大道东段1516号
襄阳市,7,0710,112.121865,32.010122,檀溪路219号
荆州市,7,0716,112.24173,30.336089,立新乡江津西路262号
长沙市,8,0731,112.983074,28.116077,湘府西路8号
衡阳市,7,0734,112.571883,26.894287,解放大道16号
镇江市,8,0511,119.42485,32.188198,南徐大道68号市行政中心1号楼21-26层
南通市,8,0513,120.894522,31.981269,世纪大道6号
淮安市,8,0517,119.113166,33.551495,翔宇南道1号
南昌市,8,0791,115.81659,28.637229,卧龙路999号
新余市,7,0790,114.916665,27.818553,仙来中大道288号
通化市,7,0435,125.939694,41.728285,玉泉路89号
锦州市,7,0416,121.126858,41.096112,市府路68号
大连市,8,0411,121.614441,38.913966,人民广场1号
乌兰察布市,7,0474,113.132248,40.994539,乌兰察布西街18号
巴彦淖尔市,7,0478,107.387696,40.742941,新华西街金川大道1号
渭南市,7,0913,109.47089,34.520463,车雷街69号
宝鸡市,7,0917,107.237693,34.362877,代家湾行政中心1号楼9层
枣庄市,7,0632,117.323747,34.810839,光明大道2621号
日照市,7,0633,119.526864,35.416905,北京路198号
东营市,7,0546,118.674628,37.434024,府前大街77号
威海市,7,0631,122.120573,37.513306,新威路1号
太原市,7,0351,112.549657,37.870462,新建路69号
文山壮族苗族自治州,7,0876,104.215663,23.400982,华龙北路2号
温州市,8,0577,120.699276,27.993829,绣山路321号
杭州市,8,0571,120.210649,30.246071,[]
宁波市,8,0574,121.624538,29.860241,宁穿路2001号
中卫市,7,0955,105.196784,37.499846,滨河镇政通东路5号
临夏回族自治州,7,0930,103.242249,35.604688,北滨河东路市政广场
辽源市,7,0437,125.144672,42.887923,人民大街1485号
抚顺市,8,024,123.957089,41.880937,临江路东段2号市政府大楼
阿坝藏族羌族自治州,7,0837,101.706531,32.902498,德吉路16号
宜宾市,7,0831,104.642897,28.752346,蜀南大道8号
中山市,8,0760,113.392517,22.517024,松苑路1号
亳州市,7,0558,115.778591,33.846282,希夷大道588号
滁州市,7,0550,118.333417,32.255903,龙蟠大道99号滁州市政务中心南楼5-6层
宣城市,7,0563,118.759067,30.938981,鳌峰中路49号
廊坊市,7,0316,116.683571,39.538293,广阳道230号
宁德市,7,0593,119.547735,26.666219,闽东中路35号
龙岩市,7,0597,117.017367,25.075863,龙岩大道1号
厦门市,7,0592,118.088921,24.479624,湖滨北路61号
莆田市,7,0594,119.007685,25.45421,荔城中大道2169号
天水市,7,0938,105.724671,34.581872,民主西路34号
清远市,7,0763,113.056104,23.682074,人民二路18号
湛江市,7,0759,110.357298,21.270369,跃进路67号
阳江市,7,0662,111.983442,21.856848,东风二路60号
河源市,7,0762,114.700214,23.744276,沿江路19号
潮州市,7,0768,116.621891,23.657672,枫春路1号
来宾市,7,0772,109.221257,23.750093,人民路1号
百色市,7,0776,106.618689,23.903013,向阳路13号
防城港市,7,0770,108.354668,21.686728,市政大楼
铜仁地区,0,,,
毕节地区,0,,,
承德市,7,0314,117.962749,40.952942,府前路1号承德市行政中心内
衡水市,7,0318,115.669028,37.739393,育才南大街369号
濮阳市,7,0393,115.029234,35.762723,人民路158号
开封市,8,0371,114.307691,34.798285,晋安路58号
焦作市,7,0391,113.241906,35.215793,人民路889号
三门峡市,7,0398,111.200461,34.773164,崤山中路47号
平顶山市,7,0375,113.192597,33.766555,祥云路
信阳市,7,0376,114.091059,32.148637,新五大道行政办公区
鹤壁市,7,0392,114.297281,35.748334,九州路131号
十堰市,7,0719,110.798935,32.629149,北京中路8号
荆门市,7,0724,112.199007,31.035415,象山大道53号
武汉市,8,027,114.304567,30.593241,沿江大道188号
常德市,7,0736,111.698849,29.031326,朗州路120号
岳阳市,7,0730,113.128778,29.356132,金鹗中路235号
娄底市,7,0738,111.994469,27.699836,湘中大道500号
株洲市,8,0731,113.132783,27.828862,天台路58号
盐城市,8,0515,120.16263,33.348176,新都街道(城南新区)世纪大道21号
苏州市,8,0512,120.585296,31.299767,三香路998号
景德镇市,7,0798,117.177557,29.268813,吕蒙乡瓷都大道686号
抚州市,7,0794,116.358054,27.948979,赣东大道抚州市政府大楼
本溪市,8,024,123.685012,41.486855,枫叶路188-1号
盘锦市,7,0427,122.082307,41.002629,红海滩大街66号
包头市,7,0472,109.953171,40.6213,开元大街1号
阿拉善盟,7,0483,105.728926,38.851987,额鲁特东路1号阿拉善盟政协附近
榆林市,7,0912,109.734123,38.285755,青山东路1号
铜川市,7,0919,109.099930,35.114521,北街与同官路交叉口东南50米
西安市,8,029,108.939621,34.343147,凤城八路109号
临沂市,7,0539,118.356447,35.103761,北京路17号
滨州市,7,0543,117.970747,37.382696,黄河五路385号
青岛市,8,0532,120.38263,36.06694,香港中路11号青岛市市级机关办公楼
朔州市,7,0349,112.433192,39.331818,市府西街1号
晋中市,7,0354,112.707587,37.699244,迎宾西路133号
巴中市,7,0827,106.747533,31.867855,望王路西段185号
绵阳市,7,0816,104.679116,31.467656,绵兴东路98号
广安市,7,0826,106.632622,30.45634,思源大道2号
资阳市,8,028,104.62742,30.128851,广场路1号
衢州市,7,0570,118.859333,28.970225,三江东路28号
台州市,8,0576,121.420819,28.655753,白云山南路233号
舟山市,7,0580,122.207374,29.98558,新城海天大道681号
固原市,7,0954,106.242653,36.016244,小川子行政中心438室
甘南藏族自治州,7,0941,102.911738,34.98325,当周街与碌曲东路交叉口南150米
内江市,7,0832,105.058013,29.580192,新华路20号
曲靖市,7,0874,103.796166,25.49072,文昌街78号
淮南市,7,0554,117.01859,32.585359,和风大街88号
巢湖市,8,0551,117.890237,31.624461,姥山路1号
黄山市,7,0559,118.337401,29.714599,天都大道1号
淮北市,7,0561,116.798347,33.956266,人民中路208号
三明市,7,0598,117.638797,26.263499,红岩新村24幢
漳州市,7,0596,117.818197,24.446706,大埕28号
陇南市,7,0939,104.960297,33.370179,东江大道市统办大楼
广州市,8,020,113.264468,23.130081,府前路1号市政府大院
云浮市,7,0766,112.044713,22.914797,世纪大道行政中心
揭阳市,7,0663,116.372736,23.551176,临江北路39号
贺州市,7,0774,111.567201,24.404172,贺州大道1号
南宁市,7,0771,108.327536,22.816554,民生路2号
遵义市,8,0851,106.922958,27.694394,凤凰山文化广场
安顺市,8,0851,105.947481,26.253013,市东路
张家口市,7,0313,114.885954,40.768964,长城西大街10号
唐山市,7,0315,118.180166,39.630677,西山道3号
邢台市,7,0319,114.504832,37.071624,红星街139号
安阳市,7,0372,114.392453,36.098729,文峰大道东段568号
郑州市,8,0371,113.753124,34.767015,金水东路22号
驻马店市,7,0396,114.021988,33.014038,开源路56号
宜昌市,7,0717,111.286679,30.692311,沿江大道102号
黄冈市,7,0713,114.872427,30.45372,七一路8号
益阳市,7,0737,112.355167,28.555006,梓山西路8号
邵阳市,7,0739,111.468121,27.239146,城北路6号
湘西土家族苗族自治州,7,0743,109.698345,28.261945,乾州新区市政大楼B栋
郴州市,7,0735,113.015561,25.770117,五岭大道9号
泰州市,8,0523,119.922853,32.456698,凤凰东路58号
宿迁市,8,0527,118.275242,33.96314,南湖路1号
宜春市,7,0795,114.41683,27.816248,府前路市政大楼
鹰潭市,7,0701,117.039548,28.272099,幸福路
朝阳市,7,0421,120.449468,41.574276,朝阳大街三段7号
营口市,7,0417,122.219175,40.624998,新联大街东1号
丹东市,7,0415,124.354441,40.0007,银河大街100号
鄂尔多斯市,7,0477,109.782461,39.608763,市府南街党政大楼B座
延安市,7,0911,109.494681,36.650108,进塔村
商洛市,7,0914,109.941839,33.862599,南街14号
济宁市,7,0537,116.587121,35.415105,红星中路13号
潍坊市,7,0536,119.161726,36.707645,胜利东街99号
济南市,8,0531,117.019946,36.671242,省府前街1号
上海市,8,021,121.473691,31.23032,人民大道200号
晋城市,7,0356,112.851581,35.49111,凤台西街289号
南充市,7,0817,106.110628,30.837242,万年西路
丽水市,7,0578,119.92328,28.467688,花园路1号
绍兴市,8,0575,120.868571,30.033899,市民大道987号
湖州市,7,0572,120.086883,30.894181,仁皇山路666号
北海市,7,0779,109.120235,21.481303,和平路东二巷2号
赤峰市,7,0476,118.887603,42.256873,玉龙大街党政大楼
六安市,7,0564,116.514414,31.730137,佛子岭中路与梅山南路交叉口
池州市,7,0566,117.491654,30.665454,百牙中路1号
福州市,8,0591,119.296384,26.07426,乌山路96号
惠州市,7,0752,114.415612,23.112381,云山西路6号
江门市,7,0750,113.081514,22.578981,白沙大道西1号
汕头市,8,0754,116.681976,23.354197,跃进路28号汕头市政府大楼
梧州市,7,0774,111.279115,23.476962,新兴三路1号
柳州市,7,0772,109.428093,24.326453,文昌路66号
黔南布依族苗族自治州,7,0854,107.518847,26.259427,文明路63号
保定市,7,0312,115.464585,38.87445,东风西路1号
周口市,7,0394,114.650602,33.647314,川汇路
南阳市,8,0377,112.528388,32.990569,中州中路291号
孝感市,7,0712,113.956962,30.918311,乾坤大道123号
黄石市,7,0714,115.038961,30.201071,团城山杭州东路1号
张家界市,7,0744,110.479044,29.116869,南庄路2号
湘潭市,8,0731,112.945421,27.831336,湘潭大道
永州市,7,0746,111.613478,26.419852,逸云路1号
南京市,8,025,118.763563,32.061361,北京西路68号
徐州市,8,0516,117.283745,34.204196,昆仑大道1号
无锡市,8,0510,120.311949,31.49167,观山路199号新市民中心
吉安市,7,0796,114.995193,27.144117,吉安北大道6号
葫芦岛市,7,0429,120.836802,40.710945,新区龙湾大街15号
鞍山市,7,0412,122.994155,41.108247,胜利南路36号
呼和浩特市,7,0471,111.765294,40.818186,如意开发区敕勒川大街1号
吴忠市,7,0953,106.198617,37.99776,明珠路与迎宾大街交叉口东南100米
咸阳市,8,029,108.708843,34.329892,渭阳中路6号
安康市,7,0915,109.029026,32.685532,育才路113号
泰安市,7,0538,117.086958,36.201781,新政府办公大楼
烟台市,7,0535,121.447759,37.464545,芙蓉路6号
吕梁市,7,0358,111.14454,37.518996,永宁中路9号
运城市,7,0359,111.007058,35.026673,河东东街248号
广元市,7,0839,105.844004,32.435755,人民路北段24号
遂宁市,7,0825,105.592602,30.532681,东升路
泸州市,7,0830,105.441951,28.870951,江阳西路1号
天津市,8,022,117.201502,39.085302,友谊路街道友谊路30号
金华市,8,0579,119.647229,29.079208,双龙南街801号市政府主楼8层、13层
嘉兴市,8,0573,120.755496,30.746601,市行政中心3号楼107
石嘴山市,7,0952,106.382792,38.984632,新区行政中心人大楼
昭通市,7,0870,103.717117,27.338083,崇义街118号
铜陵市,7,0562,117.811298,30.945216,湖东路666号
肇庆市,7,0758,112.465374,23.047598,城中路49号8幢103
汕尾市,7,0660,115.375733,22.787263,汕尾大道北市政府办公楼
深圳市,8,0755,114.246883,22.720917,龙城街道龙翔大道8033号
贵港市,7,0775,109.59895,23.111836,荷城路888号
黔东南苗族侗族自治州,7,0855,107.981393,26.566243,市府路30号
黔西南布依族苗族自治州,7,0859,104.895503,25.091960,市府路1号
漯河市,7,0395,114.016601,33.580357,淮河路10号
扬州市,8,0514,119.412845,32.394409,文昌西路8号
连云港市,8,0518,119.221487,34.596639,朝阳东路69号
常州市,8,0519,119.974104,31.811319,龙城大道1280号
九江市,7,0792,115.953569,29.66116,八里湖大道166号
萍乡市,7,0799,113.887151,27.65876,玉湖东路附近
辽阳市,7,0419,123.239596,41.267438,新城路9号
汉中市,7,0916,107.02319,33.066373,民主街43号
菏泽市,7,0530,115.479665,35.23428,中华路1009号
淄博市,7,0533,118.054968,36.813778,人民西路8号
大同市,7,0352,113.748944,40.361059,辕门街第2幢附近
长治市,7,0355,113.117207,36.195186,英雄中路68号
阳泉市,7,0353,113.580588,37.857151,南大西街23号
马鞍山市,7,0555,118.506876,31.668775,太白大道2008号
平凉市,7,0933,106.674767,35.542460,西大街32号
银川市,7,0951,106.258854,38.472266,解放西街361号
玉林市,7,0775,110.180973,22.653994,玉东大道1号
咸宁市,7,0715,114.322616,29.841362,双鹤路16号
怀化市,7,0745,110.001596,27.569889,府前路1号
上饶市,7,0793,117.943062,28.455119,凤凰中大道666号
赣州市,7,0797,114.933531,25.831131,长征大道8号
聊城市,7,0635,115.985438,36.456002,东昌西路24号
忻州市,7,0350,112.734147,38.415964,七一南路与长征东街交叉口东150米
临汾市,7,0357,111.519144,36.088158,行署巷
达州市,7,0818,107.467836,31.20926,永兴路2号
宿州市,7,0557,116.964186,33.64774,银河一路506号
随州市,7,0722,113.382315,31.690285,迎宾大道9号
德州市,7,0534,116.35922,37.436492,德政路
恩施土家族苗族自治州,7,0718,108.936448,30.290985,龙船大道51号
阿拉尔市,7,0997,81.280527,40.547653,胜利大道纪念馆后
石河子市,7,0993,86.080571,44.305355,北三东路1号
五家渠市,7,0994,87.543240,44.166756,长征东街603号
图木舒克市,7,0998,,
定安县,8,0898,110.357279,19.681115,兴安大道2号
儋州市,8,0898,109.580812,19.520948,中兴大街中1号
万宁市,8,0898,110.392605,18.793697,红专中路与红专中路南街交叉口东北100米
保亭黎族苗族自治县,8,0898,109.700373,18.640156,文明北路
西沙群岛,0,,112.338649,16.831004,永兴岛
济源市,7,0391,112.602342,35.069015,黄河大道和沁园路交叉口
潜江市,7,0728,112.900272,30.401941,章华南路18号
中沙群岛,0,,,
南沙群岛,0,,,
屯昌县,8,0898,110.101161,19.351747,昌盛路
昌江黎族自治县,8,0898,109.055739,19.298184,昌江大道58号
陵水黎族自治县,8,0898,110.037553,18.506045,椰林镇建设路156号
五指山市,8,0898,109.516925,18.775146,国兴路
仙桃市,7,0728,113.442973,30.328407,沔州大道特1号
琼中黎族苗族自治县,8,0898,109.838423,19.033270,营根路93号
乐东黎族自治县,8,0898,109.173185,18.750206,人民路
临高县,8,0898,109.690508,19.912025,文明东路县委办公楼
琼海市,8,0898,110.474581,19.259140,兴海北路1号
白沙黎族自治县,8,0898,109.451203,19.223345,县委横路与泰和路交汇处
东方市,8,0898,108.670609,19.092241,永安东路北50米
天门市,7,0728,113.166558,30.66372,陆羽大道中31号
神农架林区,7,0719,110.675743,31.744915,常青路18号
澄迈县,8,0898,110.007497,19.738885,文化北路108号
文昌市,8,0898,110.797473,19.544234,清澜开发区市政府办公大楼
澳门特别行政区,8,00853,,
香港特别行政区,8,00852,,
桃园市,0,,,
台北市,0,,,
南投县,0,,,
嘉义市,0,,,
彰化县,0,,,
新竹县,0,,,
澎湖县,0,,,
台东县,0,,,
宜兰县,0,,,
新北市,0,,,
基隆市,0,,,
屏东县,0,,,
嘉义县,0,,,
云林县,0,,,
花莲县,0,,,
台南市,0,,,
台中市,0,,,
新竹市,0,,,
高雄市,0,,,
苗栗县,0,,,
